ID Cliente;Cliente;Cidade
1; CASAS BAHIA ;Belo Horizonte/MG
2; WALLMART ;Caxias do Sul/RS
3; CARREFOUR ;Camaçari/BA
4; PONTO FRIO ;Montes Claros/MG
5; WALLMART ;Pelotas/RS
6; CASAS BAHIA ;Ouro Fino/MG
7; PONTO FRIO ;Joinville/SC
8; PERNAMBUCANAS ;Pelotas/RS
9; WALLMART ;Palmas/TO
10; CASAS BAHIA ;Palmas/TO
11; CASAS BAHIA ;Vila Velha/ES
12; CARREFOUR ;Belém/PA
13; CARREFOUR ;Aracaju/SE
14; CASAS BAHIA ;Florianópolis/SC
15; CARREFOUR ;Ribeirão Preto/SP
16; EXTRA ;Goiânia/GO
17; WALLMART ;Brasília/DF
18; MARABRAZ ;Blumenau/SC
19; PERNAMBUCANAS ;Teresina/PI
20; PERNAMBUCANAS ;São Luís/MA
21; EXTRA ;São Luís/MA
22; WALLMART ;Teresina/PI
23; MARABRAZ ;Campinas/SP
24; CARREFOUR ;Montes Claros/MG
25; CARREFOUR ;Belo Horizonte/MG
26; PERNAMBUCANAS ;Santos/SP
27; MARABRAZ ;Rio Branco/AC
28; CASAS BAHIA ;Pouso Alegre/MG
29; PONTO FRIO ;Salvador/BA
30; CARREFOUR ;Caxias do Sul/RS
31; PERNAMBUCANAS ;Niterói/RJ
32; PERNAMBUCANAS ;Americana/SP
33; PERNAMBUCANAS ;Osasco/SP
34; CASAS BAHIA ;Rio de Janeiro/RJ
35; WALLMART ;Ponta Grossa/PR
36; WALLMART ;Osasco/SP
37; PERNAMBUCANAS ;Maringá/PR
38; CASAS BAHIA ;Fortaleza/CE
39; PONTO FRIO ;Aracaju/SE
40; CARREFOUR ;Teresina/PI
41; CARREFOUR ;Macapá/AP
42; CASAS BAHIA ;Aracaju/SE
43; MARABRAZ ;Cuiabá/MT
44; PONTO FRIO ;São Paulo/SP
45; PONTO FRIO ;Maceió/AL
46; PERNAMBUCANAS ;Cabo Frio/RJ
47; PERNAMBUCANAS ;Guarulhos/SP
48; WALLMART ;Campinas/SP
49; CARREFOUR ;Divinópolis/MG
50; MARABRAZ ;São Paulo/SP
51; EXTRA ;Caxias do Sul/RS
52; EXTRA ;Recife/PE
53; PONTO FRIO ;Santos/SP
54; PERNAMBUCANAS ;João Pessoa/PB
55; WALLMART ;Fortaleza/CE
56; WALLMART ;Olinda/PE
57; PERNAMBUCANAS ;Duque de Caxias/RJ
58; CASAS BAHIA ;Olinda/PE
59; EXTRA ;Serra/ES
60; CASAS BAHIA ;Salvador/BA
61; MARABRAZ ;Barueri/SP
62; EXTRA ;Porto Velho/RO
63; EXTRA ;Santo André/SP
64; MARABRAZ ;Maringá/PR
65; EXTRA ;Mauá/SP
66; MARABRAZ ;Mauá/SP
67; PERNAMBUCANAS ;Santo André/SP
68; CARREFOUR ;Brasília/DF
69; PERNAMBUCANAS ;Serra/ES
70; CARREFOUR ;Recife/PE
71; WALLMART ;São Luís/MA
72; CASAS BAHIA ;Campo Grande/MS
73; MARABRAZ ;Campo Grande/MS
74; CARREFOUR ;Campo Grande/MS
75; WALLMART ;Camaçari/BA
76; MARABRAZ ;Belo Horizonte/MG
77; PERNAMBUCANAS ;Varginha/MG
78; EXTRA ;Maringá/PR
79; PERNAMBUCANAS ;Ponta Grossa/PR
80; PONTO FRIO ;Campinas/SP
81; EXTRA ;Cabo Frio/RJ
82; WALLMART ;Ouro Fino/MG
83; CASAS BAHIA ;Ribeirão Preto/SP
84; PONTO FRIO ;Mauá/SP
85; MARABRAZ ;Divinópolis/MG
86; CARREFOUR ;Cabo Frio/RJ
87; MARABRAZ ;Montes Claros/MG
88; MARABRAZ ;Serra/ES
89; PONTO FRIO ;Porto Velho/RO
90; PONTO FRIO ;São Luís/MA
91; PONTO FRIO ;Cuiabá/MT
92; CARREFOUR ;Blumenau/SC
93; PERNAMBUCANAS ;Uberlândia/MG
94; CASAS BAHIA ;Pelotas/RS
95; CASAS BAHIA ;Cabo Frio/RJ
96; MARABRAZ ;Pouso Alegre/MG
97; PONTO FRIO ;Vila Velha/ES
98; PERNAMBUCANAS ;Salvador/BA
99; CASAS BAHIA ;Varginha/MG
100; CASAS BAHIA ;Recife/PE
